"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 05, 2017","9,675.10","9,656.30","9,687.20","9,640.70","131.69M","0.22%"
"Jun 06, 2017","9,637.15","9,704.25","9,709.30","9,630.20","150.38M","-0.39%"
"Jun 07, 2017","9,663.90","9,663.95","9,678.55","9,630.55","165.67M","0.28%"
"Jun 08, 2017","9,647.25","9,682.40","9,688.70","9,641.50","160.16M","-0.17%"
"Jun 09, 2017","9,668.25","9,638.55","9,676.25","9,608.15","163.90M","0.22%"
"Jun 12, 2017","9,616.40","9,646.70","9,647.05","9,598.50","145.79M","-0.54%"
"Jun 13, 2017","9,606.90","9,615.55","9,654.15","9,595.40","133.73M","-0.10%"
"Jun 14, 2017","9,618.15","9,621.55","9,627.40","9,580.45","187.38M","0.12%"
"Jun 15, 2017","9,578.05","9,617.90","9,621.40","9,560.80","176.42M","-0.42%"
"Jun 16, 2017","9,588.05","9,595.45","9,615.85","9,565.50","219.81M","0.10%"
"Jun 19, 2017","9,657.55","9,626.40","9,673.30","9,614.90","146.15M","0.72%"
"Jun 20, 2017","9,653.50","9,670.50","9,676.50","9,643.75","164.44M","-0.04%"
"Jun 21, 2017","9,633.60","9,648.10","9,650.45","9,608.60","148.49M","-0.21%"
"Jun 22, 2017","9,630.00","9,642.65","9,698.85","9,617.75","204.89M","-0.04%"
"Jun 23, 2017","9,574.95","9,643.25","9,647.65","9,565.30","180.58M","-0.57%"
"Jun 27, 2017","9,511.40","9,594.05","9,615.40","9,473.45","209.59M","-0.66%"
"Jun 28, 2017","9,491.25","9,520.20","9,522.50","9,474.35","177.65M","-0.21%"
"Jun 29, 2017","9,504.10","9,522.95","9,575.80","9,493.80","267.28M","0.14%"
"Jun 30, 2017","9,520.90","9,478.50","9,535.80","9,448.75","185.20M","0.18%"
"Jul 03, 2017","9,615.00","9,587.95","9,624.00","9,543.55","188.69M","0.99%"
"Jul 04, 2017","9,613.30","9,645.90","9,650.65","9,595.50","149.31M","-0.02%"
"Jul 05, 2017","9,637.60","9,619.75","9,643.65","9,607.35","134.85M","0.25%"
"Jul 06, 2017","9,674.55","9,653.60","9,700.70","9,639.95","152.00M","0.38%"
"Jul 07, 2017","9,665.80","9,670.35","9,684.25","9,642.65","146.23M","-0.09%"
"Jul 10, 2017","9,771.05","9,719.30","9,782.15","9,646.45","38.75M","1.09%"
"Jul 11, 2017","9,786.05","9,797.45","9,830.05","9,778.85","185.32M","0.15%"
"Jul 12, 2017","9,816.10","9,807.30","9,824.95","9,787.70","150.05M","0.31%"
"Jul 13, 2017","9,891.70","9,855.80","9,897.25","9,853.45","186.87M","0.77%"
"Jul 14, 2017","9,886.35","9,913.30","9,913.30","9,845.45","164.46M","-0.05%"
"Jul 17, 2017","9,915.95","9,908.15","9,928.20","9,894.70","168.60M","0.30%"
"Jul 18, 2017","9,827.15","9,832.70","9,885.35","9,792.05","303.01M","-0.90%"
"Jul 19, 2017","9,899.60","9,855.95","9,905.05","9,851.65","206.38M","0.74%"
"Jul 20, 2017","9,873.30","9,920.20","9,922.55","9,863.45","166.08M","-0.27%"
"Jul 21, 2017","9,915.25","9,899.60","9,924.70","9,838.00","193.29M","0.42%"
"Jul 24, 2017","9,966.40","9,936.80","9,982.05","9,919.60","179.91M","0.52%"
"Jul 25, 2017","9,964.55","10,010.55","10,011.30","9,949.10","191.21M","-0.02%"
"Jul 26, 2017","10,020.65","9,983.65","10,025.95","9,965.95","203.70M","0.56%"
"Jul 27, 2017","10,020.55","10,063.25","10,114.85","10,005.50","296.78M","-0.00%"
"Jul 28, 2017","10,014.50","9,996.55","10,026.05","9,944.50","197.49M","-0.06%"
"Jul 31, 2017","10,077.10","10,034.70","10,085.90","10,016.95","245.10M","0.63%"
"Aug 01, 2017","10,114.65","10,101.05","10,128.60","10,065.75","190.00M","0.37%"
"Aug 02, 2017","10,081.50","10,136.30","10,137.85","10,054.20","166.46M","-0.33%"
"Aug 03, 2017","10,013.65","10,081.15","10,081.15","9,998.25","198.67M","-0.67%"
"Aug 04, 2017","10,066.40","10,008.60","10,075.25","9,988.35","184.08M","0.53%"
"Aug 07, 2017","10,057.40","10,074.80","10,088.10","10,046.35","141.57M","-0.09%"
"Aug 08, 2017","9,978.55","10,068.35","10,083.80","9,947.00","209.64M","-0.78%"
"Aug 09, 2017","9,908.05","9,961.15","9,969.80","9,893.05","174.40M","-0.71%"
"Aug 10, 2017","9,820.25","9,872.85","9,892.65","9,776.20","242.82M","-0.89%"
"Aug 11, 2017","9,710.80","9,712.15","9,771.65","9,685.55","294.73M","-1.11%"
"Aug 14, 2017","9,794.15","9,755.75","9,818.30","9,752.10","201.61M","0.86%"
"Aug 16, 2017","9,897.30","9,825.85","9,903.95","9,773.85","226.27M","1.05%"
"Aug 17, 2017","9,904.15","9,945.55","9,947.80","9,883.75","203.65M","0.07%"
"Aug 18, 2017","9,837.40","9,865.95","9,865.95","9,783.65","253.93M","-0.67%"
"Aug 21, 2017","9,754.35","9,864.25","9,884.35","9,740.10","211.63M","-0.84%"
"Aug 22, 2017","9,765.55","9,815.75","9,828.45","9,752.60","189.27M","0.11%"
"Aug 23, 2017","9,852.50","9,803.05","9,857.90","9,786.75","173.82M","0.89%"
"Aug 24, 2017","9,857.05","9,881.20","9,881.50","9,848.85","190.40M","0.05%"
"Aug 28, 2017","9,912.80","9,907.15","9,925.75","9,882.00","164.49M","0.57%"
"Aug 29, 2017","9,796.05","9,886.40","9,887.35","9,783.75","178.67M","-1.18%"
"Aug 30, 2017","9,884.40","9,859.50","9,909.45","9,850.80","162.70M","0.90%"
"Aug 31, 2017","9,917.90","9,905.70","9,925.10","9,856.95","337.78M","0.34%"
"Sep 01, 2017","9,974.40","9,937.65","9,983.45","9,909.85","162.73M","0.57%"
"Sep 04, 2017","9,912.85","9,984.15","9,988.40","9,861.00","153.37M","-0.62%"
"Sep 05, 2017","9,952.20","9,933.25","9,963.10","9,901.05","143.52M","0.40%"
"Sep 06, 2017","9,916.20","9,899.25","9,931.55","9,882.55","153.77M","-0.36%"
"Sep 07, 2017","9,929.90","9,945.85","9,964.85","9,917.20","194.63M","0.14%"
"Sep 08, 2017","9,934.80","9,958.65","9,963.60","9,913.30","168.70M","0.05%"
"Sep 11, 2017","10,006.05","9,971.75","10,028.65","9,968.80","178.41M","0.72%"
"Sep 12, 2017","10,093.05","10,056.85","10,097.55","10,028.05","188.25M","0.87%"
"Sep 13, 2017","10,079.30","10,099.25","10,131.95","10,063.15","221.61M","-0.14%"
"Sep 14, 2017","10,086.60","10,107.40","10,126.50","10,070.35","232.64M","0.07%"
"Sep 15, 2017","10,085.40","10,062.35","10,115.15","10,043.65","274.80M","-0.01%"
"Sep 18, 2017","10,153.10","10,133.10","10,171.70","10,131.30","160.85M","0.67%"
"Sep 19, 2017","10,147.55","10,175.60","10,178.95","10,129.95","193.35M","-0.05%"
"Sep 20, 2017","10,141.15","10,160.95","10,171.05","10,134.20","205.60M","-0.06%"
"Sep 21, 2017","10,121.90","10,139.60","10,158.90","10,058.60","197.71M","-0.19%"
"Sep 22, 2017","9,964.40","10,094.35","10,095.05","9,952.80","233.62M","-1.56%"
"Sep 25, 2017","9,872.60","9,960.10","9,960.50","9,816.05","228.21M","-0.92%"
"Sep 26, 2017","9,871.50","9,875.25","9,891.35","9,813.00","196.79M","-0.01%"
"Sep 27, 2017","9,735.75","9,920.60","9,921.05","9,714.40","206.31M","-1.38%"
"Sep 28, 2017","9,768.95","9,736.40","9,789.20","9,687.55","396.88M","0.34%"
"Sep 29, 2017","9,788.60","9,814.30","9,854.00","9,775.35","202.35M","0.20%"
"Oct 03, 2017","9,859.50","9,893.30","9,895.40","9,831.05","167.83M","0.72%"
"Oct 04, 2017","9,914.90","9,884.35","9,938.30","9,850.65","160.99M","0.56%"
"Oct 05, 2017","9,888.70","9,927.00","9,945.95","9,881.85","152.36M","-0.26%"
"Oct 06, 2017","9,979.70","9,908.15","9,989.35","9,906.60","201.86M","0.92%"
"Oct 09, 2017","9,988.75","9,988.20","10,015.75","9,959.45","148.40M","0.09%"
"Oct 10, 2017","10,016.95","10,013.70","10,034.00","10,002.30","153.25M","0.28%"
"Oct 11, 2017","9,984.80","10,042.60","10,067.25","9,955.80","195.59M","-0.32%"
"Oct 12, 2017","10,096.40","10,011.20","10,104.45","9,977.10","207.11M","1.12%"
"Oct 13, 2017","10,167.45","10,123.70","10,191.90","10,120.10","237.23M","0.70%"
"Oct 16, 2017","10,230.85","10,207.40","10,242.95","10,175.10","209.33M","0.62%"
"Oct 17, 2017","10,234.45","10,227.65","10,251.85","10,212.60","201.78M","0.04%"
"Oct 18, 2017","10,210.85","10,209.40","10,236.45","10,175.75","262.11M","-0.23%"
"Oct 19, 2017","10,146.55","10,210.35","10,211.95","10,123.35","31.09M","-0.63%"
"Oct 23, 2017","10,184.85","10,176.65","10,224.15","10,124.50","224.80M","0.38%"
"Oct 24, 2017","10,207.70","10,218.55","10,237.75","10,182.40","223.91M","0.22%"
"Oct 25, 2017","10,295.35","10,321.15","10,340.55","10,240.90","612.62M","0.86%"
"Oct 26, 2017","10,343.80","10,291.80","10,355.65","10,271.85","443.04M","0.47%"
"Oct 27, 2017","10,323.05","10,362.30","10,366.15","10,311.30","322.41M","-0.20%"
"Oct 30, 2017","10,363.65","10,353.85","10,384.50","10,344.30","244.19M","0.39%"
"Oct 31, 2017","10,335.30","10,364.90","10,367.70","10,323.95","239.81M","-0.27%"
"Nov 01, 2017","10,440.50","10,390.35","10,451.65","10,383.05","268.27M","1.02%"
"Nov 02, 2017","10,423.80","10,440.50","10,453.00","10,412.55","207.74M","-0.16%"
"Nov 03, 2017","10,452.50","10,461.55","10,461.70","10,403.60","206.10M","0.28%"
"Nov 06, 2017","10,451.80","10,431.75","10,490.45","10,413.75","199.56M","-0.01%"
"Nov 07, 2017","10,350.15","10,477.15","10,485.75","10,340.80","295.83M","-0.97%"
"Nov 08, 2017","10,303.15","10,361.95","10,384.25","10,285.50","282.95M","-0.45%"
"Nov 09, 2017","10,308.95","10,358.65","10,368.45","10,266.95","247.61M","0.06%"
"Nov 10, 2017","10,321.75","10,304.35","10,344.95","10,254.10","287.96M","0.12%"
"Nov 13, 2017","10,224.95","10,322.00","10,334.15","10,216.25","216.80M","-0.94%"
"Nov 14, 2017","10,186.60","10,223.40","10,248.00","10,175.55","314.41M","-0.38%"
"Nov 15, 2017","10,118.05","10,171.95","10,175.45","10,094.00","213.84M","-0.67%"
"Nov 16, 2017","10,214.75","10,152.90","10,232.25","10,139.20","188.18M","0.96%"
"Nov 17, 2017","10,283.60","10,324.55","10,343.60","10,268.05","209.59M","0.67%"
"Nov 20, 2017","10,298.75","10,287.20","10,309.85","10,261.50","151.75M","0.15%"
"Nov 21, 2017","10,326.90","10,329.25","10,358.70","10,315.05","191.86M","0.27%"
"Nov 22, 2017","10,342.30","10,350.80","10,368.70","10,309.55","162.50M","0.15%"
"Nov 23, 2017","10,348.75","10,358.45","10,374.30","10,307.30","157.65M","0.06%"
"Nov 24, 2017","10,389.70","10,366.80","10,404.50","10,362.25","133.18M","0.40%"
"Nov 27, 2017","10,399.55","10,361.05","10,407.15","10,340.20","146.28M","0.09%"
"Nov 28, 2017","10,370.25","10,387.90","10,409.55","10,355.20","202.05M","-0.28%"
"Nov 29, 2017","10,361.30","10,376.65","10,392.95","10,345.90","157.19M","-0.09%"
"Nov 30, 2017","10,226.55","10,332.70","10,332.70","10,211.25","353.10M","-1.30%"
"Dec 01, 2017","10,121.80","10,263.70","10,272.70","10,108.55","147.77M","-1.02%"
"Dec 04, 2017","10,127.75","10,175.05","10,179.20","10,095.70","153.24M","0.06%"
"Dec 05, 2017","10,118.25","10,118.25","10,147.95","10,069.10","160.25M","-0.09%"
"Dec 06, 2017","10,044.10","10,088.80","10,104.20","10,033.35","171.21M","-0.73%"
"Dec 07, 2017","10,166.70","10,063.45","10,182.65","10,061.90","171.34M","1.22%"
"Dec 08, 2017","10,265.65","10,198.45","10,270.85","10,195.25","206.23M","0.97%"
"Dec 11, 2017","10,322.25","10,310.50","10,329.20","10,282.05","152.04M","0.55%"
"Dec 12, 2017","10,240.15","10,324.90","10,326.10","10,230.20","180.55M","-0.80%"
"Dec 13, 2017","10,192.95","10,236.60","10,296.55","10,169.85","187.19M","-0.46%"
"Dec 14, 2017","10,252.10","10,229.30","10,276.10","10,141.55","159.10M","0.58%"
"Dec 15, 2017","10,333.25","10,345.65","10,373.10","10,319.65","262.98M","0.79%"
"Dec 18, 2017","10,388.75","10,263.10","10,443.55","10,074.80","237.51M","0.54%"
"Dec 19, 2017","10,463.20","10,414.80","10,472.20","10,406.00","174.34M","0.72%"
"Dec 20, 2017","10,444.20","10,494.40","10,494.45","10,437.15","180.60M","-0.18%"
"Dec 21, 2017","10,440.30","10,473.95","10,473.95","10,426.90","156.65M","-0.04%"
"Dec 22, 2017","10,493.00","10,457.30","10,501.10","10,448.25","143.12M","0.50%"
"Dec 26, 2017","10,531.50","10,512.30","10,545.45","10,477.95","160.42M","0.37%"
"Dec 27, 2017","10,490.75","10,531.05","10,552.40","10,469.25","170.31M","-0.39%"
"Dec 28, 2017","10,477.90","10,498.20","10,534.55","10,460.45","281.31M","-0.12%"
"Dec 29, 2017","10,530.70","10,492.35","10,538.70","10,488.65","156.74M","0.50%"
"Jan 01, 2018","10,435.55","10,531.70","10,537.85","10,423.10","134.53M","-0.90%"
"Jan 02, 2018","10,442.20","10,477.55","10,495.20","10,404.65","158.09M","0.06%"
"Jan 03, 2018","10,443.20","10,482.65","10,503.60","10,429.55","172.52M","0.01%"
"Jan 04, 2018","10,504.80","10,469.40","10,513.00","10,441.45","180.26M","0.59%"
"Jan 05, 2018","10,558.85","10,534.25","10,566.10","10,520.10","186.47M","0.51%"
"Jan 08, 2018","10,623.60","10,591.70","10,631.20","10,588.55","174.18M","0.61%"
"Jan 09, 2018","10,637.00","10,645.10","10,659.15","10,603.60","211.29M","0.13%"
"Jan 10, 2018","10,632.20","10,652.05","10,655.50","10,592.70","181.90M","-0.05%"
"Jan 11, 2018","10,651.20","10,637.05","10,664.60","10,612.35","158.63M","0.18%"
"Jan 12, 2018","10,681.25","10,682.55","10,690.40","10,597.10","180.59M","0.28%"
"Jan 15, 2018","10,741.55","10,718.50","10,782.65","10,713.80","181.26M","0.56%"
"Jan 16, 2018","10,700.45","10,761.50","10,762.35","10,687.85","217.47M","-0.38%"
"Jan 17, 2018","10,788.55","10,702.45","10,803.00","10,666.75","260.49M","0.82%"
"Jan 18, 2018","10,817.00","10,873.40","10,887.50","10,782.40","321.61M","0.26%"
"Jan 19, 2018","10,894.70","10,829.20","10,906.85","10,793.90","214.01M","0.72%"
"Jan 22, 2018","10,966.20","10,883.20","10,975.10","10,881.40","238.82M","0.66%"
"Jan 23, 2018","11,083.70","10,997.40","11,092.90","10,994.55","293.45M","1.07%"
"Jan 24, 2018","11,086.00","11,069.35","11,110.10","11,046.15","292.20M","0.02%"
"Jan 25, 2018","11,069.65","11,095.60","11,095.60","11,009.20","340.47M","-0.15%"
"Jan 29, 2018","11,130.40","11,079.35","11,171.55","11,075.95","249.22M","0.55%"
"Jan 30, 2018","11,049.65","11,120.85","11,121.10","11,033.90","234.97M","-0.73%"
"Jan 31, 2018","11,027.70","11,018.80","11,058.50","10,979.30","253.46M","-0.20%"
"Feb 01, 2018","11,016.90","11,044.55","11,117.35","10,878.80","315.74M","-0.10%"
"Feb 02, 2018","10,760.60","10,938.20","10,954.95","10,736.10","291.43M","-2.33%"
"Feb 05, 2018","10,666.55","10,604.30","10,702.75","10,586.80","247.48M","-0.87%"
"Feb 06, 2018","10,498.25","10,295.15","10,594.15","10,276.30","274.66M","-1.58%"
"Feb 07, 2018","10,476.70","10,607.20","10,614.00","10,446.40","258.10M","-0.21%"
"Feb 08, 2018","10,576.85","10,518.50","10,637.80","10,479.55","239.41M","0.96%"
"Feb 09, 2018","10,454.95","10,416.50","10,480.20","10,398.20","197.50M","-1.15%"
"Feb 12, 2018","10,539.75","10,518.20","10,555.50","10,485.40","224.12M","0.81%"
"Feb 14, 2018","10,500.90","10,585.75","10,590.55","10,456.65","236.33M","-0.37%"
"Feb 15, 2018","10,545.50","10,537.90","10,618.10","10,511.05","217.09M","0.42%"
"Feb 16, 2018","10,452.30","10,596.20","10,612.90","10,434.05","190.04M","-0.88%"
"Feb 19, 2018","10,378.40","10,488.90","10,489.35","10,302.75","193.09M","-0.71%"
"Feb 20, 2018","10,360.40","10,391.00","10,429.35","10,347.65","193.46M","-0.17%"
"Feb 21, 2018","10,397.45","10,426.00","10,426.10","10,349.60","241.33M","0.36%"
"Feb 22, 2018","10,382.70","10,354.35","10,397.55","10,340.65","323.26M","-0.14%"
"Feb 23, 2018","10,491.05","10,408.10","10,499.10","10,396.65","217.13M","1.04%"
"Feb 26, 2018","10,582.60","10,526.55","10,592.95","10,520.20","177.24M","0.87%"
"Feb 27, 2018","10,554.30","10,615.20","10,631.65","10,537.25","193.25M","-0.27%"
"Feb 28, 2018","10,492.85","10,488.95","10,535.50","10,461.55","294.79M","-0.58%"
"Mar 01, 2018","10,458.35","10,479.95","10,525.50","10,447.15","181.38M","-0.33%"
"Mar 05, 2018","10,358.85","10,428.30","10,428.70","10,323.90","199.98M","-0.95%"
"Mar 06, 2018","10,249.25","10,420.50","10,441.35","10,215.90","229.78M","-1.06%"
"Mar 07, 2018","10,154.20","10,232.95","10,243.35","10,141.55","257.20M","-0.93%"
"Mar 08, 2018","10,242.65","10,216.25","10,270.35","10,146.40","233.38M","0.87%"
"Mar 09, 2018","10,226.85","10,271.30","10,296.70","10,211.90","192.33M","-0.15%"
"Mar 12, 2018","10,421.40","10,301.60","10,433.65","10,295.45","223.14M","1.90%"
"Mar 13, 2018","10,426.85","10,389.50","10,478.60","10,377.85","274.85M","0.05%"
"Mar 14, 2018","10,410.90","10,393.05","10,420.35","10,336.30","186.99M","-0.15%"
"Mar 15, 2018","10,360.15","10,405.45","10,420.00","10,346.20","179.31M","-0.49%"
"Mar 16, 2018","10,195.15","10,345.15","10,346.30","10,180.25","338.70M","-1.59%"
"Mar 19, 2018","10,094.25","10,215.35","10,224.55","10,075.30","216.67M","-0.99%"
"Mar 20, 2018","10,124.35","10,051.55","10,155.65","10,049.10","209.33M","0.30%"
"Mar 21, 2018","10,155.25","10,181.95","10,227.30","10,132.95","211.06M","0.31%"
"Mar 22, 2018","10,114.75","10,167.50","10,207.85","10,105.40","237.63M","-0.40%"
"Mar 23, 2018","9,998.05","9,968.80","10,027.70","9,951.90","294.52M","-1.15%"
"Mar 26, 2018","10,130.65","9,989.15","10,143.50","9,958.55","270.66M","1.33%"
"Mar 27, 2018","10,184.15","10,188.00","10,207.90","10,139.65","232.71M","0.53%"
"Mar 28, 2018","10,113.70","10,143.60","10,158.35","10,096.90","354.98M","-0.69%"
